0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
62   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/shreejit/RA/solr-4.10.4/example/contexts at interval 0
78   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/shreejit/RA/solr-4.10.4/example/contexts/solr-jetty-context.xml
1619 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1703 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1734 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1735 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/shreejit/RA/solr-4.10.4/example/solr
1735 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/shreejit/RA/solr-4.10.4/example/solr/'
1875 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/shreejit/RA/solr-4.10.4/example/solr/solr.xml
2108 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/shreejit/RA/solr-4.10.4/example/solr
2157 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1871724051
2158 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/shreejit/RA/solr-4.10.4/example/solr/]
2179 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2180 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2187 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2187 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2191 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2191 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2191 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2192 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
