INFO  - 2016-02-15 01:30:55.857; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-02-15 01:30:55.919; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/shreejit/RA/solr-4.10.4/example/contexts at interval 0
INFO  - 2016-02-15 01:30:55.935; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/shreejit/RA/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2016-02-15 01:30:57.476; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-02-15 01:30:57.560; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-02-15 01:30:57.591; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-02-15 01:30:57.592; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/shreejit/RA/solr-4.10.4/example/solr
INFO  - 2016-02-15 01:30:57.592; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/shreejit/RA/solr-4.10.4/example/solr/'
INFO  - 2016-02-15 01:30:57.732; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/shreejit/RA/solr-4.10.4/example/solr/solr.xml
INFO  - 2016-02-15 01:30:57.965; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /home/shreejit/RA/solr-4.10.4/example/solr
INFO  - 2016-02-15 01:30:58.014; org.apache.solr.core.CoreContainer; New CoreContainer 1871724051
INFO  - 2016-02-15 01:30:58.015; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/shreejit/RA/solr-4.10.4/example/solr/]
INFO  - 2016-02-15 01:30:58.036; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-02-15 01:30:58.037; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-02-15 01:30:58.044; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-02-15 01:30:58.044; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-02-15 01:30:58.048; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-02-15 01:30:58.048; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-02-15 01:30:58.048; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-02-15 01:30:58.049; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-02-15 01:30:58.049; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-02-15 01:30:58.049; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2016-02-15 01:30:58.464; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2016-02-15 01:30:58.466; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-02-15 01:30:58.467; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-02-15 01:30:58.468; org.apache.solr.core.CoreContainer; Host Name: localhost
INFO  - 2016-02-15 01:30:58.493; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/shreejit/RA/solr-4.10.4/example/solr
INFO  - 2016-02-15 01:30:58.515; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/shreejit/RA/solr-4.10.4/example/solr/collection1/
INFO  - 2016-02-15 01:30:58.530; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-02-15 01:30:58.532; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/shreejit/RA/solr-4.10.4/example/solr/collection1/'
INFO  - 2016-02-15 01:30:58.664; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-02-15 01:30:58.673; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2016-02-15 01:30:58.674; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/shreejit/RA/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
